"","X","Year","Age","Female","Male","Total"
"4546",4546,1999,105,0.528246229515763,0.600186501043116,0.700196
"4547",4547,1999,106,0.537801722475107,0.662596723134328,0.738782
"4548",4548,1999,107,NA,15.3887729220183,0.801146
"4549",4549,1999,108,NA,NA,0.907542
"4550",4550,1999,109,NA,NA,0.945436
"4551",4551,1999,110,1.391116,NA,1.391116
"4552",4552,2000,0,0.00779253136775857,0.0102173066104102,0.015919
"4553",4553,2000,1,0.00118938583464751,0.00143548644146674,0.001789
"4554",4554,2000,2,0.000696398571183344,0.000922879178587917,0.00089
"4555",4555,2000,3,0.000587930315442606,0.000779156393456463,0.000709
"4556",4556,2000,4,0.000516465812896285,0.000670547674098858,0.000659
"4557",4557,2000,5,0.000420303626788883,0.000599460426436007,0.000533
"4558",4558,2000,6,0.000372751129614534,0.000627241720051049,0.000503
"4559",4559,2000,7,0.000303119624436447,0.00057185198531697,0.000464
"4560",4560,2000,8,0.000306975835876965,0.00057420140435057,0.000424
"4561",4561,2000,9,0.00031204980998489,0.000557341891023507,0.000455
"4562",4562,2000,10,0.000283799097744784,0.000520471726334658,0.000427
"4563",4563,2000,11,0.000251120726002888,0.000513124454876109,0.00038
"4564",4564,2000,12,0.000272617111142393,0.000549642292159357,0.00039
"4565",4565,2000,13,0.000347304950855523,0.000644612327539604,0.000448
"4566",4566,2000,14,0.000477896031581506,0.000877600089811798,0.000561
"4567",4567,2000,15,0.000616916620581321,0.00125054687771121,0.000781
"4568",4568,2000,16,0.000723260313667083,0.00173556631626785,0.001092
"4569",4569,2000,17,0.000878370781308288,0.00233936581777639,0.001426
"4570",4570,2000,18,0.00102936298836031,0.00316536749764186,0.001826
"4571",4571,2000,19,0.00103222419905323,0.00384395315777359,0.002333
"4572",4572,2000,20,0.00113007695527049,0.00447521727775001,0.002632
"4573",4573,2000,21,0.00117066090475245,0.00486938493721191,0.002938
"4574",4574,2000,22,0.00114450714723562,0.00524370214488564,0.003145
"4575",4575,2000,23,0.00113240171687081,0.00537676683302886,0.003236
"4576",4576,2000,24,0.00122132056135486,0.00577895241079187,0.00334
"4577",4577,2000,25,0.00127247872685874,0.00598457083812842,0.003703
"4578",4578,2000,26,0.00132809602395171,0.00601032191708425,0.003611
"4579",4579,2000,27,0.00131974722511664,0.00584648285035543,0.003633
"4580",4580,2000,28,0.00143682323663958,0.00611620851433238,0.003745
"4581",4581,2000,29,0.0015347075646148,0.00616318002902178,0.00378
"4582",4582,2000,30,0.00167208759054004,0.00666402478941617,0.004148
"4583",4583,2000,31,0.00164696681819069,0.00687975145466064,0.004128
"4584",4584,2000,32,0.00175098787336659,0.00725876275144471,0.004353
"4585",4585,2000,33,0.0018582571179675,0.00740951559028925,0.004559
"4586",4586,2000,34,0.00200098233009709,0.00797338293750454,0.004718
"4587",4587,2000,35,0.00210175756089928,0.00844209164825523,0.005166
"4588",4588,2000,36,0.00220134555232652,0.00866603517556836,0.005245
"4589",4589,2000,37,0.00234904529041343,0.00920673981918308,0.005601
"4590",4590,2000,38,0.00257376126604455,0.00986184924578266,0.005957
"4591",4591,2000,39,0.0027686580785307,0.0106556212174283,0.006344
"4592",4592,2000,40,0.00308896467387529,0.0118771840065267,0.007309
