"Year","Age","Female","Male","Total"
1961,6,-0.00245595106201189,-0.00220783839852682,0.001031
1961,7,-0.00321187023787351,-0.00290102310572949,0.000946
1961,8,-0.00390482885609579,-0.00378129020205868,0.000792
1961,9,-0.00177486201681587,0.00202383230314084,0.000699
1961,10,-0.00416213426656319,0.00331122689895423,0.000766
1961,11,0.00165548884496241,0.00982529020862445,0.000659
1961,12,-0.00694012361142966,-0.00543006189749931,0.00071
1961,13,-0.000588097890983725,0.000881649164056776,0.000625
1961,14,-0.0037735078458253,-0.00303554004106461,0.000766
1961,15,-0.00436347543726915,-0.00270709756302974,0.000811
1961,16,0.000307104038575459,0.00225524269716218,0.001076
1961,17,-0.000831819083733669,0.00144766259286326,0.001221
1961,18,-0.0014087149930949,-0.000945825264970843,0.001388
1961,19,-0.000585187937130218,0.00201201816937219,0.001547
1961,20,-0.00589064238951593,-0.00356972756845534,0.001963
1961,21,0.00417077076784601,0.000264788707984495,0.001579
1961,22,-0.00511588422309407,-0.00524125823389817,0.001831
1961,23,0.00152096798102038,3.85360516893143e-06,0.00192
1961,24,-0.00580640463662504,-0.00451598390392377,0.001945
1961,25,-0.00258637474404123,-0.00246216899104555,0.002186
1961,26,-0.00340771996980052,-0.00248883928808439,0.002265
1961,27,-0.00783985238955105,-0.00631412387215935,0.002207
1961,28,-0.0019115416049311,-0.00200219141640583,0.002289
1961,29,-0.00254259770177219,-0.000846796738347069,0.002143
1961,30,-0.0048389035315982,-0.00458333584037425,0.00314
1961,31,0.00385786143626612,0.00335515522151563,0.002502
1961,32,-0.00772946882343726,-0.00723538506828841,0.002824
1961,33,0.00515306417921977,0.00396963875491198,0.002751
1961,34,-0.0053723501289437,-0.00581569825786936,0.002823
1961,35,-9.77211525544614e-05,-0.0022041025033726,0.003196
1961,36,0.00176171638529406,0.000131019544158535,0.003099
1961,37,-0.00290164417241282,-0.00371392147671944,0.003211
1961,38,-0.000926640202835011,-0.00292478451166558,0.003244
1961,39,0.000209480904908746,0.00120484218676229,0.003226
1961,40,-0.00882701796909069,-0.00859848744569013,0.004292
1961,41,0.00475997926458554,0.00387863653527126,0.003416
1961,42,-0.00592611861890678,-0.00539466568697338,0.004386
1961,43,0.00398970760699052,0.00199940504750838,0.004545
1961,44,-0.00623870685194334,-0.00595164735969906,0.004156
1961,45,-0.000503003116419512,-0.000223398519063159,0.005203
1961,46,0.00479900597413374,0.00142011357609108,0.00518
1961,47,-0.0012452701802785,-0.00289513225265371,0.005478
1961,48,0.0027968649265848,-0.00025390502733256,0.005967
1961,49,0.00903862102179833,0.00305408323530627,0.005958
1961,50,-0.00889326519087022,-0.00631789665234176,0.007877
1961,51,0.0118954204691861,0.00758410195528357,0.006732
1961,52,-0.00436540043472723,-0.00691490991737429,0.008196
1961,53,0.00800366416914805,0.00548976861081682,0.008613
1961,54,0.000646404542526233,-0.00255768603966162,0.009344
1961,55,0.00569493971769,0.00114156936391616,0.010809
1961,56,0.00294637223040575,0.000265212446709574,0.01187
1961,57,-0.00722826321828882,-0.00200604395605019,0.01145
1961,58,-0.00204917795432185,0.000850898568412773,0.012396
1961,59,0.0153141831004756,0.0182033303849759,0.013144
1961,60,-0.0191835722868154,-0.0125538551861665,0.017719
1961,61,0.0182633344010462,0.00701051662256203,0.015475
1961,62,-0.0168937877460628,-0.00997410523388744,0.018126
1961,63,0.0152097258201614,0.00801975775285852,0.021156
1961,64,-0.00468184107692169,-0.00652722304331445,0.021608
1961,65,-0.0035894815983101,-0.00370407094206146,0.025216
1961,66,-0.000494103939896922,-0.000719466364433444,0.024712
1961,67,-0.0140884892977062,-0.0089747473171769,0.028408
1961,68,-0.00553391311915412,-0.00232632413599323,0.029563
1961,69,-0.00951142237020097,0.000699106524166304,0.028747
1961,70,-0.0104818073163786,-0.00840330470278526,0.04209
1961,71,0.0181013332811413,0.0135796012092153,0.03497
1961,72,-0.0268895889028196,-0.0169560571255989,0.04094
1961,73,0.0223931542253244,0.0129355210110659,0.050841
1961,74,-0.00732922290807172,-0.00767290173646678,0.054526
1961,75,-0.00433873118015669,-0.00344751086467628,0.062253
1961,76,0.000632115504692703,-0.000798540581984963,0.065938
1961,77,-0.0193379757467445,-0.0134597148394512,0.060195
1961,78,-0.00319404246730701,-0.00388791070931111,0.076994
1961,79,0.0375964824029358,0.0883885414671668,0.070887
1961,80,-0.000382854004938197,-0.000306990700671401,0.109478
1961,81,0.000119606075052295,0.000131839224552338,0.08532
1961,82,-2.58588929771122e-05,-0.000115617169894778,0.112291
1961,83,-0.00011526037825269,-3.58977065453555e-05,0.122835
1961,84,-0.00045400060437516,-0.000897777128077375,0.127945
1961,85,-9.44736556084303e-05,-3.75393277868832e-05,0.15093
1961,86,-0.000173050451973247,-4.31441435066511e-05,0.159818
1961,87,-8.93493229245326e-05,-7.2351080811112e-05,0.162137
1961,88,-0.00034839550445244,-0.000136231794727827,0.171167
1961,89,-0.00104167249542932,-0.00149467037791187,0.149634
1961,90,-4.10244001918314e-05,0.000366040509001721,0.225424
1961,91,-1.28819218996895e-05,0.000193065415825237,0.155837
1961,92,-1.41736815937273e-06,2.09032921933423e-05,0.161765
1961,93,-2.47606489236814e-05,0.000249959641411552,0.202776
1961,94,-0.00169625941592508,-0.00179953599027711,0.174136
1961,95,-0.00010659773828884,-0.000628944097333644,0.200242
1961,96,0.000277197607750456,0.000359391032169225,0.246625
1961,97,-0.000114962606256545,0.000283217878975808,0.249889
1961,98,-0.00182688496047188,0.00185730902875047,0.323612
1961,99,0.000168275359577004,-0.00616084891815372,0.273767
1961,100,-0.000662308215299207,0.00435695233053321,0.288691
1961,101,0.00119020985891385,0.00125138248020763,0.304084
1961,102,0.00136257035257209,0.00138334194676938,0.320372
1961,103,0.00155146948281244,0.00151564127756555,0.337336
1961,104,0.00177831517440432,0.00161018351040862,0.355
1961,105,0.00200651042251554,0.0018326707361963,0.373663
1961,106,0.0022599186632559,0.00186766737138826,0.39352
1961,107,0.00254762210077813,0.00208271271486353,0.414136
1961,108,0.00286667280096387,0.00217781448339483,0.435731
1961,109,1.32633731922253,1.23561523470781,0.460125
1961,110,0.508455,0.689682,0.548494
1962,0,0.00775597607833316,0.00905304043885204,0.03223
1962,1,0.00109584399368926,0.000560257061918446,0.004294
1962,2,0.00124026465495668,0.00104453598224913,0.001981
1962,3,0.00154184531371753,0.00121913555883511,0.001384
1962,4,0.00230085418753042,0.00223517300563847,0.00109
1962,5,-0.00102626654793388,-0.000944825775848893,0.000999
1962,6,-0.00123104794506362,-0.0011733437057898,0.000886
1962,7,-0.00246324432560313,-0.00221479065239557,0.000891
1962,8,-0.00322580347653953,-0.0029144941276227,0.000763
1962,9,-0.00391560182389576,-0.00379040027960831,0.000704
1962,10,-0.00178725566263096,0.00201212736749209,0.000673
1962,11,-0.0041809156298587,0.00330227000289008,0.000606
1962,12,0.00165392741513487,0.00973686190287604,0.000658
1962,13,-0.0069919672643177,-0.00546517345481422,0.000672
1962,14,-0.000589139400484866,0.000891432900426178,0.000698
1962,15,-0.00378883886107739,-0.00305585906325242,0.000844
1962,16,-0.00438560395117108,-0.00271784924437587,0.000942
1962,17,0.000307452622858425,0.0022538427503443,0.001203
1962,18,-0.000833732280766787,0.00144865952329871,0.001423
1962,19,-0.00142190245294274,-0.00101220790516043,0.00145
1962,20,-0.000579587341996216,0.00205592695469357,0.001656
1962,21,-0.00593352806227863,-0.0036020592211603,0.001707
